Unnamed: 0,essay_num,op_index,time,op_loc,op_type,current_editor,add,delete,selected_text,cursor_location,recording_obj,Unnamed: 12,Unnamed: 13,Unnamed: 14
9570,26,0,93.831,editor,i,['w'],w',,,"[0, 0]","{'t': 93831, 'o': [{'o': 'i', 'i': [0, 0], 'a': 'w'}]}",,,
9571,26,1,95.138,editor,i,"['what is lost:', '']",hat is lost:\n',,,"[0, 1]","{'t': [93955, 95138], 'l': 13, 'o': [{'o': 'i', 'i': [0, 1], 'a': 'hat is lost:\n'}]}",,,
9572,26,2,95.389,editor,i,"['what is lost:', '', '']",\n',,,"[1, 0]","{'t': 95389, 'o': [{'o': 'i', 'i': [1, 0], 'a': '\n'}]}",,,
9573,26,3,97.463,editor,i,"['what is lost:', '', '-']",-',,,"[2, 0]","{'t': 97463, 'o': [{'o': 'i', 'i': [2, 0], 'a': '-'}]}",,,
9574,26,4,97.786,editor,i,"['what is lost:', '', '- ']",,,,"[2, 1]","{'t': 97786, 'o': [{'o': 'i', 'i': [2, 1], 'a': ' '}]}",,,
9575,26,5,98.05,editor,d,"['what is lost:', '', '-']",,,,"[[2, 1], [2, 2]]","{'t': 98050, 'o': [{'o': 'd', 'i': [[2, 1], [2, 2]]}]}",,,
9576,26,6,98.867,editor,i,"['what is lost:', '', '-peroo']",peroo',,,"[2, 1]","{'t': [98582, 98867], 'l': 5, 'o': [{'o': 'i', 'i': [2, 1], 'a': 'peroo'}]}",,,
9577,26,7,99.429,editor,d,"['what is lost:', '', '-per']",,oo',,"[[2, 4], [2, 6]]","{'t': [99117, 99429], 'l': 2, 'o': [{'o': 'd', 'i': [[2, 4], [2, 6]], 'd': [[1, 2]]}]}",,,
9578,26,8,100.411,editor,i,"['what is lost:', '', '-personality', '']",sonality\n',,,"[2, 4]","{'t': [99517, 100411], 'l': 9, 'o': [{'o': 'i', 'i': [2, 4], 'a': 'sonality\n'}]}",,,
9579,26,9,102.286,editor,i,"['what is lost:', '', '-personality', '-jobs', '']",-jobs\n',,,"[3, 0]","{'t': [100965, 102286], 'l': 6, 'o': [{'o': 'i', 'i': [3, 0], 'a': '-jobs\n'}]}",,,
9580,26,10,103.758,editor,i,"['what is lost:', '', '-personality', '-jobs', '-careers', '']",-careers\n',,,"[4, 0]","{'t': [102486, 103758], 'l': 9, 'o': [{'o': 'i', 'i': [4, 0], 'a': '-careers\n'}]}",,,
9581,26,11,105.331,editor,d,"['what is lost:', '', '-personality', '-jobs', '-car']",,eers\n',,"[[4, 4], [5, 0]]","{'t': [104802, 105331], 'l': 5, 'o': [{'o': 'd', 'i': [[4, 4], [5, 0]], 'd': [[1, 4], [[4, 8], [5, 0]]]}]}",,,
9582,26,12,105.645,editor,o,"['what is lost:', '', '-personality', '-jobs', '-car']",,,\n-job',"[[4, 4], [3, 4]]","{'t': 105645, 'o': [{'o': 'o', 'i': [[4, 4], [3, 4]]}]}",,,
9583,26,13,105.879,editor,x,"['what is lost:', '', '-personality', '-job']",,s\n-car',,"[[3, 4], [4, 4]]","{'t': 105879, 'o': [{'o': 'x', 'i': [[3, 4], [4, 4]]}]}",,,
9584,26,14,108.375,editor,i,"['what is lost:', '', '-personality', '-jobs/careers', '']",s/careers\n',,,"[3, 4]","{'t': [106754, 108375], 'l': 10, 'o': [{'o': 'i', 'i': [3, 4], 'a': 's/careers\n'}]}",,,
9585,26,15,110.541,editor,i,"['what is lost:', '', '-personality', '-jobs/careers', '', '']",\n',,,"[4, 0]","{'t': 110541, 'o': [{'o': 'i', 'i': [4, 0], 'a': '\n'}]}",,,
9586,26,16,113.531,editor,o,"['what is lost:', '', '-personality', '-jobs/careers', '', '']",,,,"[5, 0]","{'t': 113531, 'o': [{'o': 'o', 'i': [5, 0]}]}",,,
9587,26,17,113.913,editor,i,"['what is lost:', '', '-personality', '-jobs/careers', '', 'w']",w',,,"[5, 0]","{'t': 113913, 'o': [{'o': 'i', 'i': [5, 0], 'a': 'w'}]}",,,
9588,26,18,115.521,editor,i,"['what is lost:', '', '-personality', '-jobs/careers', '', 'what is gained:', '']",hat is gained:\n',,,"[5, 1]","{'t': [114105, 115521], 'l': 15, 'o': [{'o': 'i', 'i': [5, 1], 'a': 'hat is gained:\n'}]}",,,
9589,26,19,115.676,editor,i,"['what is lost:', '', '-personality', '-jobs/careers', '', 'what is gained:', '', '']",\n',,,"[6, 0]","{'t': 115676, 'o': [{'o': 'i', 'i': [6, 0], 'a': '\n'}]}",,,
9590,26,20,118.183,editor,i,"['what is lost:', '', '-personality', '-jobs/careers', '', 'what is gained:', '', '-precision', '']",-precision\n',,,"[7, 0]","{'t': [116343, 118183], 'l': 11, 'o': [{'o': 'i', 'i': [7, 0], 'a': '-precision\n'}]}",,,
9591,26,21,118.429,editor,i,"['what is lost:', '', '-personality', '-jobs/careers', '', 'what is gained:', '', '-precision', '-']",-',,,"[8, 0]","{'t': 118429, 'o': [{'o': 'i', 'i': [8, 0], 'a': '-'}]}",,,
9592,26,22,120.382,editor,i,"['what is lost:', '', '-personality', '-jobs/careers', '', 'what is gained:', '', '-precision', '-l']",l',,,"[8, 1]","{'t': 120382, 'o': [{'o': 'i', 'i': [8, 1], 'a': 'l'}]}",,,
9593,26,23,122.591,editor,i,"['what is lost:', '', '-personality', '-jobs/careers', '', 'what is gained:', '', '-precision', '-lower costing products', '']",ower costing products\n',,,"[8, 2]","{'t': [120517, 122591], 'l': 22, 'o': [{'o': 'i', 'i': [8, 2], 'a': 'ower costing products\n'}]}",,,
9594,26,24,123.832,editor,o,"['what is lost:', '', '-personality', '-jobs/careers', '', 'what is gained:', '', '-precision', '-lower costing products', '']",,,\n',"[[9, 0], [8, 0]]","{'t': 123832, 'o': [{'o': 'o', 'i': [[9, 0], [8, 0]]}]}",,,
9595,26,25,124.453,editor,d,"['what is lost:', '', '-personality', '-jobs/careers', '', 'what is gained:', '', '-precision', '']",,-lower costing products\n',,"[[8, 0], [9, 0]]","{'t': 124453, 'o': [{'o': 'd', 'i': [[8, 0], [9, 0]]}]}",,,
